번호	사업장명	소재지전체주소
382	Smile Homestay	서울특별시 노원구 중계동 505번지 경남아파트 6동 1502호
383	sun flower	서울특별시 노원구 상계동 406-2번지 우리아트빌 401호
384	Nowon Maru	서울특별시 노원구 상계동 694번지 임광아파트 2동 1006호
385	남대문게스트하우스	서울특별시 중구 회현동1가 82-33번지 
386	자자 백팩커스	서울특별시 중구 남산동2가 18-6번지 1층 
387	에코하우스	서울특별시 중구 남산동3가 20-9번지 5층 
388	홍 게스트하우스	서울특별시 중구 을지로7가 29번지 
389	남산 까미노	서울특별시 중구 장충동2가 193-266번지 401호
390	한소레지던스 서울	서울특별시 중구 중림동 331-22번지 2~4층 
391	남산루프트	서울특별시 중구 회현동1가 142-16번지 3층 
392	파크애비뉴2	서울특별시 마포구 연남동 257-12번지 34층 
393	텐달러	서울특별시 마포구 서교동 448-6번지 
394	파크애비뉴	서울특별시 마포구 연남동 257-12번지 2층 
395	Loft 8	서울특별시 마포구 동교동 113-96번지 3층 
396	한강 게스트하우스	서울특별시 마포구 마포동 293-9번지 지하1층 
397	아이하우스 친친	서울특별시 마포구 연남동 370-14번지 2층 
940	무니하우스	서울특별시 용산구 보광동 240-10번지 2층 
398	Twin Panda	서울특별시 마포구 서교동 333-41번지 
399	더 어반 게스트하우스	서울특별시 마포구 연남동 227-17번지 
400	House of Amusement	서울특별시 마포구 합정동 398-2번지 지하 102호
401	Quest House	서울특별시 마포구 연남동 487-252번지 지층 
402	Elisha's house	서울특별시 마포구 서교동 329-12번지 201호
403	민즈스테이	서울특별시 마포구 성산동 263-11번지 201호
404	써니힐게스트하우스2	서울특별시 마포구 연남동 509-19번지 501호
405	더스텔라하우스	서울특별시 마포구 연남동 565-8번지 2층 
406	Gon&Soomin	서울특별시 마포구 서교동 326-1번지 101호
407	라벨메종	서울특별시 마포구 연남동 564-14번지 202호
408	Sweet House	서울특별시 마포구 연남동 561-20번지 
409	Chuls' lodge	서울특별시 마포구 서교동 328-70번지 3층 
410	브라우니 게스트하우스	서울특별시 마포구 동교동 148-8번지 3층 
411	퀘스트하우스2	서울특별시 마포구 동교동 200-2번지 2동 308호
412	Sarah's home	서울특별시 마포구 합정동 391-37번지 201호
413	스페이스 93	서울특별시 마포구 연남동 249-7번지 
414	Mei House	서울특별시 마포구 서교동 448-32번지 201호
415	Chaeny's home	서울특별시 마포구 동교동 204-19번지 일층 1호
416	마이리틀게스트하우스	서울특별시 마포구 연남동 504-19번지 
417	Jack's House	서울특별시 마포구 도화동 38-9번지 301호
418	모노하우스 3호점	서울특별시 마포구 서교동 375-42번지 
419	이너프	서울특별시 마포구 서교동 329-11번지 201호
420	트윈스게스트하우스	서울특별시 마포구 동교동 201-9번지 
421	쭈니홈	서울특별시 마포구 연남동 381-6번지 
422	메이플라이게스트하우스	서울특별시 마포구 서교동 346-37번지 
423	레몬쌀롱	서울특별시 마포구 서교동 395-24번지 
424	식스모닝 하우스	서울특별시 마포구 서교동 343-16번지 
425	Moon's lively House	서울특별시 마포구 염리동 9-42번지 
426	MA HOME GUESTHOUSE	서울특별시 마포구 서교동 396-60번지 
427	Park Mama House	서울특별시 마포구 서교동 335-1번지 
428	TnE house	서울특별시 마포구 합정동 379-13번지 
429	T HOUSE	서울특별시 마포구 연남동 493-10번지 
430	해밀3	서울특별시 마포구 연남동 384-1번지 
431	해밀2	서울특별시 마포구 연남동 384-1번지 
432	모노하우스 홍대3호점	서울특별시 마포구 서교동 375-42번지 
433	Chuck haus	서울특별시 마포구 서교동 337-24번지 
434	아이올라 2	서울특별시 마포구 연남동 229-41번지 
435	LUNA CASA	서울특별시 마포구 연남동 229-56번지 
436	ZZZIP 게스트하우스	서울특별시 마포구 합정동 366-37번지 
437	Gina House	서울특별시 마포구 연남동 382-1번지 
438	Gina House2	서울특별시 마포구 연남동 382-1번지 
439	아펠바움	서울특별시 마포구 연남동 390-65번지 
440	우먼하우스	서울특별시 마포구 망원동 417-15번지 
441	타로하우스	서울특별시 마포구 연남동 565-31번지 
442	레드스톤	서울특별시 마포구 연남동 565-28번지 
443	리즈의 하우스2	서울특별시 마포구 연남동 390-26번지 
444	모노하우스 홍대 5호점	서울특별시 마포구 서교동 325-4번지 
445	Monohome	서울특별시 마포구 동교동 181-10번지 
446	오렌지 게스트하우스	서울특별시 마포구 서교동 463-21번지 
447	Bounce Guesthouse Hongdae	서울특별시 마포구 연남동 493-17번지 3층 
448	친구 게스트하우스	서울특별시 마포구 서교동 446-7번지 2층 
449	펌킨 게스트하우스	서울특별시 마포구 서교동 358-93번지 2층 
450	서울맨션	서울특별시 마포구 동교동 147-44번지 1층 
451	레이지폭스 덴	서울특별시 마포구 서교동 380-18번지 
452	스위트홈	서울특별시 마포구 서교동 401-6번지 5층 
453	어반우드	서울특별시 마포구 서교동 333-30번지 3층 
454	Dream Comfort	서울특별시 마포구 동교동 200-32번지 
455	문 게스트하우스	서울특별시 마포구 동교동 149-4번지 3층 
456	유자 게스트하우스	서울특별시 마포구 서교동 397-5번지 2층 
457	DW Design Residence 3	서울특별시 마포구 동교동 203-47번지 1층 
458	DW Design Residence 2	서울특별시 마포구 동교동 203-47번지 지층 
459	RO inhome	서울특별시 마포구 서교동 478-7번지 
460	Monday Travel	서울특별시 마포구 합정동 370-30번지 대명시티파크 B동 302호
461	허니비즈하우스	서울특별시 마포구 동교동 177-6번지 102호
462	훤 게스트하우스	서울특별시 마포구 연남동 561-47번지 201호
463	Meet seoul	서울특별시 마포구 창전동 442번지 서강한화오벨리스크 103동 702호
464	부원게스트하우스	서울특별시 마포구 서교동 334-35번지 3층 
465	플렌티(PLENTY)	서울특별시 마포구 합정동 391-6번지 1~2층 
466	NG HOUSE	서울특별시 마포구 동교동 177-6번지 3층 
467	Hong-dae house	서울특별시 마포구 성산동 114-16번지 203호
468	Chilli Guesthouse	서울특별시 마포구 서교동 446-46번지 1~2층 
469	Best view	서울특별시 마포구 상수동 363번지 월드메르디앙 1002호
470	두 남자집	서울특별시 마포구 도화동 555번지 마포 한화 오벨리스크 3212호
471	Janet's House	서울특별시 마포구 상암동 1524-3번지 2층 
472	디아-로그	서울특별시 마포구 연남동 567-40번지 
473	D's House	서울특별시 마포구 서교동 384-2번지 
474	Wink&Link House	서울특별시 마포구 성산동 131-20번지 
475	해리티지	서울특별시 마포구 동교동 178-7번지 
476	와우팩터	서울특별시 마포구 서교동 446-38번지 
477	Grace House	서울특별시 마포구 서교동 346-28번지 
478	나누게스트하우스 블랙	서울특별시 마포구 서교동 326-13번지 
479	노서프라이즈	서울특별시 마포구 동교동 197-6번지 
480	친구게스트하우스	서울특별시 마포구 상수동 340-10번지 
481	시스앤브로	서울특별시 마포구 연남동 566-62번지 
482	리오327	서울특별시 마포구 서교동 464-23번지 
483	i House	서울특별시 마포구 연남동 239-19번지 
484	Lee House	서울특별시 마포구 연남동 565-17번지 
485	19th st.Guest House	서울특별시 마포구 연남동 223-19번지 
486	드리밍게스트하우스	서울특별시 마포구 연남동 255-17번지 
487	킹콩게스트하우스	서울특별시 마포구 서교동 404-10번지 
488	홀리데이 게스트하우스	서울특별시 마포구 서교동 370-2번지 
489	G.O.D 게스트하우스	서울특별시 마포구 성산동 251-5번지 
490	딸기핑크게스트하우스	서울특별시 마포구 동교동 150-10번지 삼성하이빌 201호
491	MINJI HOUSE	서울특별시 마포구 합정동 431-42번지 2층 
492	Villa de 103	서울특별시 마포구 서교동 329-11번지 103호
493	마포아줌마게스트하우스	서울특별시 마포구 도화동 83번지 도화3지구우성아파트 17동 702호
494	리앤노게스트하우스	서울특별시 마포구 연남동 561-29번지 4층 
495	리앤노1게스트하우스	서울특별시 마포구 연남동 561-29번지 3층 
496	B house	서울특별시 마포구 연남동 255-9번지 지층일부~1층 
497	하우스테이	서울특별시 마포구 서교동 347-11번지 B01호
498	Super 7	서울특별시 마포구 연남동 571-8번지 5층 
499	공덕정	서울특별시 마포구 도화동 4-39번지 3층 
500	이화 게스트하우스	서울특별시 마포구 동교동 177-19번지 302호
501	나누 게스트하우스 핑크	서울특별시 마포구 동교동 147-40번지 101호
502	미소 게스트하우스 2	서울특별시 마포구 동교동 176-14번지 
503	리안 게스트하우스	서울특별시 마포구 서교동 331-18번지 
504	케이 플러스 와이	서울특별시 마포구 서교동 326-1번지 각산타운 402호
505	Kim's Family2	서울특별시 마포구 서교동 446-7번지 
506	Kim's Family1	서울특별시 마포구 서교동 446-7번지 
507	녹색광선	서울특별시 마포구 창전동 6-215번지 
508	아트하우스	서울특별시 마포구 창전동 440번지 
509	에이블게스트하우스2	서울특별시 마포구 서교동 333-47번지 
510	빙고하우스	서울특별시 마포구 동교동 177-7번지 
511	June's House	서울특별시 마포구 동교동 113-24번지 
512	The ONE	서울특별시 마포구 서교동 404-8번지 
513	2F House	서울특별시 마포구 서교동 334-27번지 
514	홍대게스트하우스	서울특별시 마포구 동교동 113-24번지 
515	더 유니버스 홍대	서울특별시 마포구 동교동 189-1번지 
516	Youlya's home	서울특별시 마포구 동교동 189-1번지 
517	단잠	서울특별시 마포구 상수동 344-4번지 
518	바로아토 2호점	서울특별시 마포구 동교동 204-27번지 
519	Dom's 게스트하우스	서울특별시 마포구 동교동 177-19번지 
520	티아라 게스트하우스	서울특별시 마포구 서교동 464-50번지 
521	상수 stay calm	서울특별시 마포구 상수동 93-25번지 
522	Modern Place	서울특별시 마포구 당인동 14-10번지 
523	하나 게스트하우스	서울특별시 마포구 서교동 375-21번지 
524	그랜드빌라101	서울특별시 마포구 연남동 565-17번지 
525	AVO	서울특별시 마포구 서교동 410-5번지 23층 
526	룩스 게스트하우스	서울특별시 마포구 서교동 325-26번지 5층 
527	Local Stitch	서울특별시 마포구 서교동 465-7번지 3층 
528	하늘자전거 게스트 하우스	서울특별시 마포구 대흥동 144-2번지 
529	디에이치게스트하우스	서울특별시 마포구 노고산동 19-70번지 
530	AP Seoul	서울특별시 마포구 연남동 568-47번지 301호
531	홍스테이 게스트하우스	서울특별시 마포구 동교동 149-11번지 
532	아트하우스	서울특별시 마포구 연남동 567-44번지 3층 
533	타운 게스트하우스	서울특별시 마포구 아현동 703-12번지 201호
534	제라늄	서울특별시 마포구 서교동 395-127번지 한일빌리지 301호
535	홍대게스트하우스 마마스앤파파스	서울특별시 마포구 서교동 403-16번지 5층 
536	브릿지 백팩커스	서울특별시 마포구 동교동 182-9번지 2층 
537	알파게스트하우스	서울특별시 마포구 노고산동 109-30번지 2층 
538	Dream House	서울특별시 마포구 서교동 465-11번지 4층 
539	유게스트하우스	서울특별시 마포구 서교동 403-14번지 56층 
540	바로 아토	서울특별시 마포구 동교동 153-23번지 
541	하우스테이 2호점	서울특별시 마포구 동교동 170-22번지 
1016	SB하우스	서울특별시 광진구 구의동 633-14번지 
542	그레이프가든 하우스	서울특별시 마포구 서교동 340-15번지 3층 
543	LikeU	서울특별시 마포구 서교동 330-1번지 5층 
544	마루 게스트하우스	서울특별시 마포구 서교동 400-3번지 6층 
545	10 Guesthouse	서울특별시 마포구 도화동 4-39번지 2층 
546	홍대 하우스	서울특별시 마포구 당인동 13-7번지 나동 202호
547	스테이 나우	서울특별시 마포구 연남동 387-4번지 
548	런드리 피플	서울특별시 마포구 도화동 26-1번지 301호
549	Sunny's East house	서울특별시 마포구 연남동 390-53번지 2층 
550	트릭아트 게스트하우스	서울특별시 마포구 연남동 258-10번지 3~4층 
551	게더링 앳 홍대2	서울특별시 마포구 연남동 229-32번지 
552	게더링 앳 홍대1	서울특별시 마포구 연남동 229-32번지 
553	미스홍대 게스트하우스3	서울특별시 마포구 서교동 358-135번지 
554	미스홍대 게스트하우스2	서울특별시 마포구 서교동 358-135번지 
555	미스홍대 게스트하우스1	서울특별시 마포구 서교동 358-135번지 
556	에버핑크	서울특별시 마포구 연남동 369-3번지 
557	ZIBRO	서울특별시 마포구 연남동 239-34번지 
558	ARNAUD HOUSE	서울특별시 마포구 연남동 227-4번지 
559	하우스 홍시	서울특별시 마포구 연남동 567-51번지 
560	룸339	서울특별시 마포구 서교동 399-18번지 
561	Yeonnam Parkside House	서울특별시 마포구 연남동 245-80번지 
562	그레이카우치	서울특별시 마포구 성산동 635-6번지 
563	쿠키 게스트하우스	서울특별시 마포구 서교동 448-5번지 
564	Jenny House	서울특별시 마포구 동교동 204-40번지 
565	Rio127	서울특별시 마포구 동교동 154-24번지 
566	Hong Star	서울특별시 마포구 합정동 386-35번지 
567	PHOTO HOUSE	서울특별시 마포구 연남동 239-44번지 
568	Kate's 게스트하우스	서울특별시 마포구 서교동 370-24번지 
569	Q 하우스	서울특별시 마포구 동교동 178-7번지 
570	서울패밀리 게스트 하우스	서울특별시 동대문구 이문동 255-389번지 
571	해밀	서울특별시 마포구 연남동 384-1번지 지하 101호
572	크로스로드 백팩커스	서울특별시 마포구 서교동 335-32번지 1~2층 
573	인 게스트하우스	서울특별시 마포구 성산동 261-40번지 2층 
574	와우힐즈 게스트하우스	서울특별시 마포구 창전동 6-86번지 
575	미스터콤마 게스트하우스	서울특별시 마포구 연남동 570-22번지 1~2층 
576	홍대 패밀리 하우스텔 2	서울특별시 마포구 연남동 568-7번지 401호
577	Funfun stay	서울특별시 마포구 서교동 332-4번지 4층 
578	KPOPSTAY II	서울특별시 마포구 창전동 6-153번지 2층 
579	KPOPSTAY	서울특별시 마포구 창전동 6-153번지 1층 
580	Issue Seoul	서울특별시 마포구 서교동 481-9번지 1~2층 
581	준 게스트하우스	서울특별시 마포구 서교동 335-36번지 B05호
582	호 홈텔	서울특별시 마포구 서교동 476-17번지 3층 
583	서울맨션2	서울특별시 마포구 동교동 147-44번지 2~3층 
584	래래하우스	서울특별시 마포구 서교동 335-24번지 303호
585	만두 게스트하우스	서울특별시 마포구 연남동 255-7번지 2층 
586	Br. house	서울특별시 마포구 서교동 335-26번지 2~3층 
587	캠핑 게스트하우스	서울특별시 마포구 상암동 35-7번지 5층 
588	트리앙겔	서울특별시 마포구 동교동 181-2번지 2층 201호
589	옹기종기 하우스	서울특별시 마포구 서교동 332-23번지 2층 
590	Seoul Sweet STyle	서울특별시 마포구 연남동 570-45번지 1층 
591	모노하우스	서울특별시 마포구 서교동 446-11번지 
592	1969 게스트하우스	서울특별시 마포구 연남동 257-6번지 1~2층 
593	Min's House	서울특별시 마포구 망원동 463-3번지 문화빌라 B동 305호
594	Two Two House	서울특별시 마포구 연남동 260-10번지 1~2층 
595	홍대 쉐프 게스트하우스	서울특별시 마포구 합정동 375-18번지 1~2층 
596	Bello house	서울특별시 마포구 서교동 328-5번지 
597	제이디 하우스	서울특별시 마포구 서교동 329-12번지 
598	코코아2	서울특별시 마포구 서교동 409-19번지 
599	화이트테일	서울특별시 마포구 연남동 390-69번지 
600	낮잠 게스트하우스	서울특별시 마포구 연남동 245-83번지 
601	하우스 인 서울	서울특별시 마포구 동교동 177-6번지 위저드 빌 I 
602	Sweet home	서울특별시 마포구 연남동 382-10번지 M studio 
603	하이준 게스트하우스	서울특별시 마포구 연남동 223-79번지 
604	어베러데이스테이	서울특별시 마포구 도화동 38-3번지 
605	Here House	서울특별시 마포구 동교동 154-2번지 
606	Stay C 게스트하우스	서울특별시 마포구 서교동 340-12번지 협화빌라 
607	클레어하우스	서울특별시 마포구 망원동 469-24번지 비젼하우스 
608	MAD PACKER's	서울특별시 마포구 도화동 184-2번지 
609	99게스트하우스	서울특별시 마포구 창전동 5-15번지 
610	봉수아하우스	서울특별시 마포구 연남동 381-10번지 
611	Together	서울특별시 마포구 상수동 93-39번지 
612	홍대 민 하우스	서울특별시 마포구 동교동 152-27번지 
613	버틀러:리	서울특별시 마포구 서교동 330-48번지 
614	Aiden House	서울특별시 마포구 서교동 328-10번지 
615	자연	서울특별시 마포구 연남동 566-30번지 
616	아이올라 1	서울특별시 마포구 연남동 229-41번지 2층 
617	미소 게스트하우스	서울특별시 마포구 동교동 179-37번지 2층 
618	에그 게스트하우스 픽미업코리아	서울특별시 마포구 동교동 153-2번지 401호
619	Hao Guesthouse	서울특별시 마포구 서교동 333-46번지 
620	롬바드하우스	서울특별시 마포구 서교동 466-6번지 4층 
621	유기농 게스트하우스	서울특별시 마포구 망원동 338-77번지 23층 
622	I Love Hongdae	서울특별시 마포구 합정동 372-41번지 
623	다온하우스	서울특별시 마포구 동교동 147-67번지 1층 
624	해피트리 게스트하우스 2호점	서울특별시 마포구 서교동 335-23번지 202호
625	Ubreaktime	서울특별시 마포구 서교동 334-33번지 
626	Miss Egg House	서울특별시 마포구 대흥동 37-5번지 
627	Homini	서울특별시 마포구 서교동 326-11번지 
628	Gateway Korea Guesthouse	서울특별시 마포구 서교동 397-6번지 
629	애플트리(Apple tree)	서울특별시 마포구 성산동 645-8번지 
630	Kw 홍대 Line	서울특별시 마포구 연남동 260-9번지 201호
631	choibnb	서울특별시 마포구 동교동 179-25번지 101호
632	홍대스타일 게스트하우스	서울특별시 마포구 동교동 203-29번지 
633	어게인(AGAIN)	서울특별시 마포구 서교동 330-55번지 103호~2층 
634	레이지폭스	서울특별시 마포구 서교동 483-16번지 3층 
635	Hao 2 Guesthouse	서울특별시 마포구 서교동 333-46번지 지층 
636	MOST STAY	서울특별시 마포구 서교동 446-26번지 
637	NOR8ER	서울특별시 마포구 서교동 409-16번지 지하102호
638	이삭게스트하우스	서울특별시 마포구 연남동 228-38번지 
639	패밀리하우스텔＃	서울특별시 마포구 동교동 198-29번지 패밀리하우스 
640	더시티게스트하우스	서울특별시 마포구 서교동 394-70번지 
641	마이게스트하우스	서울특별시 마포구 서교동 473-42번지 삼성빌리지 
642	라일락홈스테이	서울특별시 마포구 도화동 547번지 
643	Catch the two rabbits!	서울특별시 마포구 아현동 800번지 
644	나루게스트하우스	서울특별시 마포구 서교동 395-149번지 
645	KS guest house	서울특별시 마포구 합정동 363-23번지 
646	모노하우스(2호점)	서울특별시 마포구 연남동 229-23번지 
647	홍대제이케이하우스	서울특별시 마포구 서교동 342-17번지 
648	포시즌하우스	서울특별시 마포구 합정동 389-6번지 
649	게스트하우스 K(동교동지점)	서울특별시 마포구 동교동 113-22번지 
650	모노하우스 5호점	서울특별시 마포구 서교동 325-4번지 
651	로이하우스	서울특별시 마포구 연남동 229-45번지 
652	Yellow moon	서울특별시 마포구 대흥동 36-32번지 
653	홍시게스트하우스	서울특별시 마포구 동교동 147-39번지 202호
654	차차차 게스트하우스	서울특별시 마포구 합정동 448-4번지 301호
655	이노게스트하우스	서울특별시 마포구 서교동 483-25번지 1층 
656	홍대 올리브 게스트하우스	서울특별시 마포구 서교동 451-20번지 1층 2층 
657	나누게스트하우스 케이팝	서울특별시 마포구 서교동 463-22번지 1층 2층 
658	이강게스트하우스	서울특별시 마포구 성산동 39-3번지 401호
659	에이블 게스트하우스(Able Guesthouse)	서울특별시 마포구 서교동 333-37번지 2층 3층 
660	엣홈	서울특별시 마포구 동교동 177-11번지 4층 
661	패밀리 앤 프렌즈 하우스 2	서울특별시 마포구 연남동 567-19번지 2층~3층 
662	세렌디피티 ; 갈맥이둥지	서울특별시 마포구 동교동 148-4번지 2층 
663	잠자는딸기	서울특별시 마포구 동교동 188-16번지 1층 
664	OH House	서울특별시 마포구 연남동 567-30번지 302호
665	Cocoon stay 홍대입구역점	서울특별시 마포구 동교동 170-30번지 
666	늦잠 게스트하우스	서울특별시 마포구 합정동 371-26번지 5층 
667	로그인	서울특별시 마포구 연남동 515-18번지 3~4층 
668	모닥불게스트하우스	서울특별시 마포구 연남동 255-32번지 1층 
669	케이둡9	서울특별시 마포구 연남동 566-46번지 1~2층 
670	guesthouse345	서울특별시 마포구 상수동 345-10번지 
671	주주게스트하우스3	서울특별시 마포구 서교동 483-16번지 
672	주주게스트하우스1	서울특별시 마포구 서교동 483-16번지 
673	주주게스트하우스2	서울특별시 마포구 서교동 483-16번지 
674	써니힐게스트하우스	서울특별시 마포구 연남동 566-5번지 
675	트윈래빗 게스트하우스	서울특별시 마포구 연남동 566-5번지 
676	코코아	서울특별시 마포구 서교동 409-19번지 
677	Bada House	서울특별시 마포구 동교동 150-10번지 101호
678	판판게스트하우스	서울특별시 마포구 서교동 334-35번지 
679	Be:um(비움)	서울특별시 마포구 동교동 170-14번지 
680	가든하우스	서울특별시 마포구 성산동 58-12번지 
681	한강 레지던스 앤 게스트하우스	서울특별시 마포구 마포동 293-9번지 
682	리버뷰게스트하우스	서울특별시 마포구 마포동 293-9번지 
683	벙크게스트하우스	서울특별시 마포구 서교동 334-34번지 
684	펌킨게스트하우스2	서울특별시 마포구 서교동 358-93번지 
685	이지트립 게스트하우스	서울특별시 마포구 서교동 347-14번지 
686	Sogni d'oro	서울특별시 마포구 합정동 414-16번지 지하층 
687	Romantic Holiday	서울특별시 마포구 서교동 368-30번지 301호
688	미시간하우스앤펍	서울특별시 마포구 서교동 339-23번지 
689	딥서울 게스트하우스	서울특별시 마포구 동교동 147-68번지 
690	벙크2 게스트하우스	서울특별시 마포구 서교동 334-34번지 1층 
691	감자2 게스트하우스	서울특별시 마포구 동교동 177-8번지 
692	guesthouse pajamaparty	서울특별시 마포구 연남동 240-10번지 
693	B&R HOUSE	서울특별시 마포구 동교동 176-17번지 301호
694	Mr. Brown	서울특별시 마포구 연남동 240-49번지 
695	Elly's Guest House	서울특별시 마포구 연남동 252-9번지 
696	게스트하우스 류가	서울특별시 마포구 서교동 400-8번지 
697	게이트웨이코리아 게스트하우스2 Hongdae	서울특별시 마포구 서교동 342-17번지 지하층 12호
698	연남105	서울특별시 마포구 연남동 478-16번지 105호
699	홍대 롯지 게스트하우스	서울특별시 마포구 연남동 561-65번지 
700	Joy house	서울특별시 마포구 서교동 347-2번지 101호
701	해피하우스	서울특별시 마포구 연남동 255-35번지 B동 202호
702	Moon House	서울특별시 용산구 후암동 102-20번지 
703	The Stay	서울특별시 마포구 서교동 330-26번지 
704	Namsan Park House	서울특별시 용산구 후암동 46-4번지 
705	88 게스트하우스(Eighty Eight Guest House)	서울특별시 종로구 팔판동 91번지 
706	게스트하우스 더 김스(Guesthouse The Kims(	서울특별시 종로구 부암동 35번지 
707	게스트 제이 하우스(Guest J House)	서울특별시 종로구 혜화동 26-6번지 
708	한스하우스(Hans house)	서울특별시 종로구 체부동 155번지 
709	프랜드인서울(Friend in Seoul)	서울특별시 종로구 통인동 149-1번지 1층 
710	물댄동산(A well watered garden)	서울특별시 종로구 평창동 89-2번지 1층 
711	게스트하우스 필운	서울특별시 종로구 필운동 130-2번지 
712	진호하우스	서울특별시 종로구 원서동 86-26번지 조은주택 101호
713	Serene	서울특별시 종로구 운니동 91번지 
714	쥘리앵	서울특별시 종로구 소격동 47번지 
715	프렌즈게스트하우스	서울특별시 종로구 옥인동 63-1번지 
716	그루잠 게스트하우스	서울특별시 종로구 창신동 660-127번지 
717	언니네 하우스	서울특별시 종로구 숭인동 1121번지 
718	비엔비하우스 바우네	서울특별시 종로구 명륜3가 1-1099번지 
719	궁 게스트하우스	서울특별시 종로구 신문로2가 1-196번지 23층 
720	콩집 게스트하우스	서울특별시 종로구 혜화동 5-31번지 
721	라비	서울특별시 종로구 안국동 113번지 2층 
722	비원스테이	서울특별시 종로구 운니동 32번지 
723	조이하슬라	서울특별시 종로구 홍지동 133-15번지 1층 
724	엠엠게스트하우스	서울특별시 종로구 신문로2가 1-104번지 403호
725	HS HOUSE	서울특별시 종로구 신문로2가 1-104번지 303호
726	윤스테이	서울특별시 종로구 필운동 210-1번지 1층 
727	배화하우스	서울특별시 종로구 필운동 28번지 202호
728	주성치가 올때까지	서울특별시 종로구 필운동 28번지 3010호
729	경희궁뒷집	서울특별시 종로구 필운동 28번지 101호
730	민기네 집	서울특별시 종로구 필운동 28번지 201호
731	창신동숙	서울특별시 종로구 창신동 23-702번지 
732	경복궁 게스트하우스 (KYUNG BOK GUNG Guesthouse)	서울특별시 종로구 옥인동 19-44번지 케이엠빌 2층 
733	지 하우스(G. HOUSE)	서울특별시 종로구 부암동 95-44번지 
734	씬디스 비앤비(Cindy's B&B)	서울특별시 종로구 부암동 208-55번지 
735	리리하우스(LI LI HOUSE)	서울특별시 종로구 연건동 271-13번지 
736	삼청동 코리아 게스트하우스	서울특별시 종로구 화동 35번지 4층 
737	카사 자밀라(Casa Jamila)	서울특별시 종로구 필운동 137-3번지 
738	프리미엄 게스트하우스	서울특별시 종로구 통인동 106번지 
739	에이 하우스(A☆ House)	서울특별시 종로구 팔판동 21-1번지 2층 3층 
740	예하도예 게스트하우스(YEHADOYE guesthouse)	서울특별시 종로구 관훈동 55-1번지 4.5층 
741	비하우스(B-House)	서울특별시 종로구 창신동 583-91번지 
742	숨바꼭질(Hide & Seek)	서울특별시 종로구 통의동 35-68번지 
743	오 마이 게스트하우스	서울특별시 종로구 신교동 75-1번지 
744	서울 게스트하우스	서울특별시 종로구 관수동 161-6번지 
745	윈드로드 앤 플라워 게스트하우스(Windroad & Flower Guesthouse	서울특별시 종로구 명륜3가 85-5번지 201호
746	하얀 토끼 게스트하우스(White Rabbit Guesthouse)	서울특별시 종로구 혜화동 15-166번지 
747	봉 백팩커스(Bong Backpackers)	서울특별시 종로구 명륜2가 195-10번지 
748	더 프레젠트 게스트하우스(The Present Guesthouse)	서울특별시 종로구 혜화동 163-22번지 
749	루디아 공예 게스트하우스(Lydia craft Guesthouse)	서울특별시 종로구 필운동 130-8번지 
750	뿡갈로(BBUNGALOW)	서울특별시 종로구 신문로2가 1-135번지 2층 
751	부엉이 게스트하우스(OWL Guesthouse)	서울특별시 종로구 숭인동 178-96번지 202호
752	봄 하우스(Pom House)	서울특별시 종로구 체부동 107번지 2층 
753	백배커스 인사이드(Backpackers INSIDE)	서울특별시 종로구 명륜2가 112번지 
754	골든폰드 게스트하우스 (GoldenPond GuestHouse)	서울특별시 종로구 명륜4가 168-3번지 
755	봉 하우스 (Bong House)	서울특별시 종로구 명륜3가 117-2번지 B1층 1층 
756	코리아 센트럴 백팩커스 (Korea central Backpackers)	서울특별시 종로구 명륜2가 195-10번지 지하 
757	진하우스(Jin house)	서울특별시 종로구 숭인동 178-75번지 
758	케이게스트하우즈	서울특별시 종로구 창신동 459-36번지 
759	까사데아람	서울특별시 종로구 내수동 110-18번지 경희궁빌 
760	조이하우스	서울특별시 종로구 명륜4가 188-40번지 
761	와이게스트하우스	서울특별시 종로구 원서동 76-37번지 
762	삼형제 게스트하우스	서울특별시 종로구 이화동 9-539번지 
763	코비게스트하우스	서울특별시 종로구 창신동 197-49번지 
764	트립홀릭	서울특별시 종로구 혜화동 6-73번지 
765	숙이네 게스트	서울특별시 종로구 동숭동 4-4번지 동숭아트빌 
766	보눔 1957 한옥 앤 부티크	서울특별시 종로구 가회동 30-2번지 
767	지유	서울특별시 종로구 숭인동 76번지 롯데캐슬천지인 인동 2302호
768	에그하우스 동대문점	서울특별시 종로구 창신동 542-5번지 
769	숲속의 궁전	서울특별시 종로구 구기동 154-3번지 
770	가치	서울특별시 종로구 누상동 159-8번지 
771	로미네집	서울특별시 종로구 숭인동 61-30번지 
772	예인하우스(Yeinhouse)	서울특별시 종로구 신교동 20-1번지 101호
773	WA 55	서울특별시 종로구 와룡동 55번지 3층 
774	게스트하우스 이화 휴	서울특별시 종로구 이화동 8-6번지 12층 
775	누하 278	서울특별시 종로구 누하동 278번지 
776	아뜰리에웨스트사이드	서울특별시 종로구 통인동 147-4번지 3층 
777	샘154하우스	서울특별시 종로구 누하동 154번지 
778	민국이네 집	서울특별시 종로구 누하동 169번지 
779	럭키엠	서울특별시 종로구 통인동 79-2번지 
780	스테이영	서울특별시 종로구 청운동 60번지 공동주택 (채옥희) 302호
781	HOUSE LOU	서울특별시 종로구 청운동 60번지 공동주택 (채옥희) 301호
782	우 게스트하우스(Woo Guesthouse)	서울특별시 종로구 사간동 66번지 영정빌딩 4층 5층 
